date,day,holiday,type,rel_city
2019-04-14,Sunday,Palm Sunday,Observance,MADRID
2019-04-18,Thursday,Maundy Thursday,National holiday,MADRID
2019-04-19,Friday,Good Friday,National holiday,MADRID
2019-04-21,Sunday,Easter Sunday,Observance,MADRID
2019-04-22,Monday,Easter Monday,National holiday,MADRID
2019-04-23,Tuesday,Day of Aragón,Local holiday,BARCELONA
2019-04-23,Tuesday,St George's Day,Local observance,BARCELONA
2019-04-23,Tuesday,Castile and León Day,Local holiday,PONFERRADA
2019-04-28,Sunday,Orthodox Easter,Observance,MADRID
2019-05-01,Wednesday,Labor Day / May Day,National holiday,MADRID
2019-05-02,Thursday,Day of Madrid,Local holiday,MADRID
2019-05-04,Saturday,Feria de Sevilla,Local festival,SEVILLA
2019-05-05,Sunday,Mothers' Day,Observance,MADRID
2019-05-05,Sunday,Feria de Sevilla,Local festival,SEVILLA
2019-05-06,Monday,Feria de Sevilla,Local festival,SEVILLA
2019-05-07,Tuesday,Feria de Sevilla,Local festival,SEVILLA
2019-05-08,Wednesday,Feria de Sevilla,Local festival,SEVILLA
2019-05-09,Thursday,Europe Day,National holiday,MADRID
2019-05-09,Thursday,Feria de Sevilla,Local festival,SEVILLA
2019-05-10,Friday,Feria de Sevilla,Local festival,SEVILLA
2019-05-11,Saturday,Feria de Sevilla,Local festival,SEVILLA
2019-05-15,Wednesday,Feast Day of St Isidore,Local holiday,MADRID
2019-05-31,Friday,Day of Castile-La Mancha,Local holiday,SEVILLA
2019-05-31,Friday,Day of Castile-La Mancha,Local holiday,VALENCIA
2019-06-09,Sunday,Whit Sunday/Pentecost,Observance,MADRID
2019-06-10,Monday,Whit Monday,Local holiday,BARCELONA
2019-06-20,Thursday,Corpus Christi,National holiday,MADRID
2019-06-24,Monday,Saint John the Baptist Day,Local holiday,BARCELONA
2019-08-15,Thursday,Assumption of Mary,National holiday,MADRID
2019-08-15,Thursday,Gràcia Festival,Local festival,BARCELONA
2019-08-16,Friday,Gràcia Festival,Local festival,BARCELONA
2019-08-17,Saturday,Gràcia Festival,Local festival,BARCELONA
2019-08-18,Sunday,Gràcia Festival,Local festival,BARCELONA
2019-08-19,Monday,Gràcia Festival,Local festival,BARCELONA
2019-08-20,Tuesday,Gràcia Festival,Local festival,BARCELONA
2019-08-21,Wednesday,Gràcia Festival,Local festival,BARCELONA
2019-09-11,Wednesday,Day of Catalonia,Local holiday,BARCELONA
2019-09-21,Saturday,La Merce ,Local festival,BARCELONA
2019-09-22,Sunday,La Merce ,Local festival,BARCELONA
2019-09-23,Monday,La Merce ,Local festival,BARCELONA
2019-09-24,Tuesday,La Merce ,Local festival,BARCELONA
2019-10-04,Friday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-05,Saturday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-06,Sunday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-07,Monday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-08,Tuesday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-09,Wednesday,Day of the Valencian Community,Local holiday,VALENCIA
2019-10-09,Wednesday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-10,Thursday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-11,Friday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-12,Saturday,Hispanic Day,National holiday,MADRID
2019-10-12,Saturday,Fiestas del Pilar,Local festival,BARCELONA
2019-10-13,Sunday,Fiestas del Pilar,Local festival,BARCELONA
2019-11-01,Friday,All Saints' Day,National holiday,MADRID
